Brand,Model,Year,Category,Displacement (CC),Power (HP),Torque (Nm),Engine Cylinder,Engine Stroke,Gearbox,Dry Weight (kg),Wheelbase (mm),Seat Height (mm),Estimated MSRP (USD)
Aprilia,Caponord 1200,2018,Sport touring,1197,125,114,V2, four-stroke,6-speed,,1565,840,13200
Aprilia,Dorsoduro 750,2013,Super motard,749.9,90.3,82,V2, four-stroke,6-speed,186,1505,870,6200
Aprilia,Dorsoduro 900,2022,Super motard,896.1,95.2,90,V2, four-stroke,6-speed,195,1515,870,10500
Aprilia,Dorsoduro 1200,2015,Sport touring,1197,130,115,V2, four-stroke,6-speed,212,1565,870,10700
Aprilia,ETX 150,2020,Allround,149,,,Single cylinder, four-stroke,5-speed,,1330,,3200
Aprilia,MXV 4.5,2013,Cross / motocross,449,,,V2, four-stroke,4-speed,,1499,960,3700
Aprilia,RS 125,2022,Sport,124.2,14.8,11.2,Single cylinder, four-stroke,6-speed,,1353,820,5600
Aprilia,RS 50,2021,Sport,50,,,Single cylinder, two-stroke,6-speed,,,820,4200
Aprilia,RS 660,2022,Sport,659,100,67,Twin, four-stroke,6-speed,169,1370,820,14300
Aprilia,RS-GP,2021,Sport,999.6,255,115,V4, four-stroke,6-speed,,1420,840,15300
Aprilia,RS4 125,2018,Sport,124.8,15,10.9,Single cylinder, four-stroke,6-speed,,1350,820,5100
Aprilia,RS4 50,2018,Sport,49.9,,,Single cylinder, two-stroke,6-speed,,1350,820,3600
Aprilia,RSV4,2022,Sport,1099,217,125,V4, four-stroke,6-speed,179,1439,845,18000
Aprilia,RX 125,2022,Enduro / offroad,124.2,15,10.9,Single cylinder, four-stroke,6-speed,124,1425,905,3900
Aprilia,RX 50,2022,Enduro / offroad,50,,,Single cylinder, two-stroke,6-speed,,1365,860,3200
Aprilia,RXV 4.5,2013,Enduro / offroad,452,,,V2, four-stroke,5-speed,,1495,918,4300
Aprilia,RXV 5.5,2013,Super motard,550,,,V2, four-stroke,5-speed,,1495,918,4900
Aprilia,Shiver 750,2014,Naked bike,749.9,95,81,V2, four-stroke,6-speed,,1440,810,6100
Aprilia,Shiver 900,2022,Naked bike,896.1,95,90,V2, four-stroke,6-speed,199,1465,810,11200
Aprilia,Shiver Sport 750,2014,Naked bike,749.9,95,81,V2, four-stroke,6-speed,,1440,810,5700
Aprilia,STX 150,2020,Allround,149,,,Single cylinder, four-stroke,6-speed,,1330,,3700
Aprilia,SX 125,2022,Super motard,124.8,15,11.2,Single cylinder, four-stroke,6-speed,,1425,880,4000
Aprilia,SX 50,2022,Super motard,50,,,Single cylinder, two-stroke,6-speed,,1365,860,3600
Aprilia,SXV 4.5,2013,Super motard,452,,,V2, four-stroke,5-speed,,1495,918,4400
Aprilia,SXV 5.5,2013,Super motard,550,,,V2, four-stroke,5-speed,,1495,918,5400
Aprilia,Tuareg 660,2022,Super motard,660,80,70,Twin, four-stroke,6-speed,,1525,860,8800
Aprilia,Tuono 125,2022,Naked bike,124.2,15,11.2,Single cylinder, four-stroke,6-speed,129,1350,810,3500
Aprilia,Tuono 660,2022,Sport,660,95,67,Twin, four-stroke,6-speed,,1370,,13900
Aprilia,Tuono V4,2022,Naked bike,1077,175,121,V4, four-stroke,6-speed,185,1452,87,11100
Bajaj,CT 100,2022,Allround,102,7.8,8.3,Single cylinder, four-stroke,4-speed,,1235,,3300
Bajaj,CT 110,2022,Allround,115.5,8.6,9.8,Single cylinder, four-stroke,4-speed,,1285,,3600
